domain, useragent, type, directory 
twitter.com, slurp, allow, /?_escaped_fragment_
twitter.com, slurp, allow, /*?lang=
twitter.com, slurp, allow, /hashtag/*?src=
twitter.com, slurp, allow, /search?q=%23
twitter.com, slurp, disallow, /search/realtime
twitter.com, slurp, disallow, /search/users
twitter.com, slurp, disallow, /search/*/grid
twitter.com, slurp, disallow, /*?
twitter.com, slurp, disallow, /*/followers
twitter.com, slurp, disallow, /*/following
twitter.com, slurp, disallow, /account/not_my_account
twitter.com, yandex, allow, /?_escaped_fragment_
twitter.com, yandex, allow, /*?lang=
twitter.com, yandex, allow, /hashtag/*?src=
twitter.com, yandex, allow, /search?q=%23
twitter.com, yandex, disallow, /search/realtime
twitter.com, yandex, disallow, /search/users
twitter.com, yandex, disallow, /search/*/grid
twitter.com, yandex, disallow, /*?
twitter.com, yandex, disallow, /*/followers
twitter.com, yandex, disallow, /*/following
twitter.com, yandex, disallow, /account/not_my_account
twitter.com, msnbot, allow, /?_escaped_fragment_
twitter.com, msnbot, allow, /*?lang=
twitter.com, msnbot, allow, /hashtag/*?src=
twitter.com, msnbot, allow, /search?q=%23
twitter.com, msnbot, disallow, /search/realtime
twitter.com, msnbot, disallow, /search/users
twitter.com, msnbot, disallow, /search/*/grid
twitter.com, msnbot, disallow, /*?
twitter.com, msnbot, disallow, /*/followers
twitter.com, msnbot, disallow, /*/following
twitter.com, msnbot, disallow, /account/not_my_account
twitter.com, *, allow, /*?lang=
twitter.com, *, allow, /hashtag/*?src=
twitter.com, *, allow, /search?q=%23
twitter.com, *, disallow, /search/realtime
twitter.com, *, disallow, /search/users
twitter.com, *, disallow, /search/*/grid
twitter.com, *, disallow, /*?
twitter.com, *, disallow, /*/followers
twitter.com, *, disallow, /*/following
twitter.com, *, disallow, /account/not_my_account
twitter.com, *, disallow, /oauth
twitter.com, *, disallow, /1/oauth
twitter.com, *, disallow, /i/streams
twitter.com, *, disallow, /i/hello
instagram.com, *, disallow, /api/
instagram.com, *, disallow, /publicapi/
instagram.com, *, disallow, /query/
yahoo.com, *, disallow, /p/
yahoo.com, *, disallow, /r/
yahoo.com, *, disallow, /bin/
yahoo.com, *, disallow, /includes/
yahoo.com, *, disallow, /blank.html
yahoo.com, *, disallow, /_td_api
yahoo.com, *, disallow, /_tdpp_api
yahoo.com, *, disallow, /_remote
yahoo.com, *, disallow, /_multiremote
yahoo.com, *, disallow, /_tdhl_api
facebook.com, applebot, disallow, /ajax/
facebook.com, applebot, disallow, /album.php
facebook.com, applebot, disallow, /checkpoint/
facebook.com, applebot, disallow, /contact_importer/
facebook.com, applebot, disallow, /feeds/
facebook.com, applebot, disallow, /file_download.php
facebook.com, applebot, disallow, /hashtag/
facebook.com, applebot, disallow, /l.php
facebook.com, applebot, disallow, /live/
facebook.com, applebot, disallow, /p.php
facebook.com, applebot, disallow, /photo.php
facebook.com, applebot, disallow, /photos.php
facebook.com, applebot, disallow, /sharer/
facebook.com, baiduspider, disallow, /ajax/
facebook.com, baiduspider, disallow, /album.php
facebook.com, baiduspider, disallow, /checkpoint/
facebook.com, baiduspider, disallow, /contact_importer/
facebook.com, baiduspider, disallow, /feeds/
facebook.com, baiduspider, disallow, /file_download.php
facebook.com, baiduspider, disallow, /hashtag/
facebook.com, baiduspider, disallow, /l.php
facebook.com, baiduspider, disallow, /live/
facebook.com, baiduspider, disallow, /p.php
facebook.com, baiduspider, disallow, /photo.php
facebook.com, baiduspider, disallow, /photos.php
facebook.com, baiduspider, disallow, /sharer/
facebook.com, bingbot, disallow, /ajax/
facebook.com, bingbot, disallow, /album.php
facebook.com, bingbot, disallow, /checkpoint/
facebook.com, bingbot, disallow, /contact_importer/
facebook.com, bingbot, disallow, /feeds/
facebook.com, bingbot, disallow, /file_download.php
facebook.com, bingbot, disallow, /hashtag/
facebook.com, bingbot, disallow, /l.php
facebook.com, bingbot, disallow, /live/
facebook.com, bingbot, disallow, /p.php
facebook.com, bingbot, disallow, /photo.php
facebook.com, bingbot, disallow, /photos.php
facebook.com, bingbot, disallow, /sharer/
facebook.com, googlebot, disallow, /ajax/
facebook.com, googlebot, disallow, /album.php
facebook.com, googlebot, disallow, /checkpoint/
facebook.com, googlebot, disallow, /contact_importer/
facebook.com, googlebot, disallow, /feeds/
facebook.com, googlebot, disallow, /file_download.php
facebook.com, googlebot, disallow, /hashtag/
facebook.com, googlebot, disallow, /l.php
facebook.com, googlebot, disallow, /live/
facebook.com, googlebot, disallow, /p.php
facebook.com, googlebot, disallow, /photo.php
facebook.com, googlebot, disallow, /photos.php
facebook.com, googlebot, disallow, /sharer/
facebook.com, ia_archiver, disallow, /
facebook.com, ia_archiver, disallow, /ajax/
facebook.com, ia_archiver, disallow, /album.php
facebook.com, ia_archiver, disallow, /checkpoint/
facebook.com, ia_archiver, disallow, /contact_importer/
facebook.com, ia_archiver, disallow, /feeds/
facebook.com, ia_archiver, disallow, /file_download.php
facebook.com, ia_archiver, disallow, /hashtag/
facebook.com, ia_archiver, disallow, /l.php
facebook.com, ia_archiver, disallow, /live/
facebook.com, ia_archiver, disallow, /p.php
facebook.com, ia_archiver, disallow, /photo.php
facebook.com, ia_archiver, disallow, /photos.php
facebook.com, ia_archiver, disallow, /sharer/
facebook.com, msnbot, disallow, /ajax/
facebook.com, msnbot, disallow, /album.php
facebook.com, msnbot, disallow, /checkpoint/
facebook.com, msnbot, disallow, /contact_importer/
facebook.com, msnbot, disallow, /feeds/
facebook.com, msnbot, disallow, /file_download.php
facebook.com, msnbot, disallow, /hashtag/
facebook.com, msnbot, disallow, /l.php
facebook.com, msnbot, disallow, /live/
facebook.com, msnbot, disallow, /p.php
facebook.com, msnbot, disallow, /photo.php
facebook.com, msnbot, disallow, /photos.php
facebook.com, msnbot, disallow, /sharer/
facebook.com, naverbot, disallow, /ajax/
facebook.com, naverbot, disallow, /album.php
facebook.com, naverbot, disallow, /checkpoint/
facebook.com, naverbot, disallow, /contact_importer/
facebook.com, naverbot, disallow, /feeds/
facebook.com, naverbot, disallow, /file_download.php
facebook.com, naverbot, disallow, /hashtag/
facebook.com, naverbot, disallow, /l.php
facebook.com, naverbot, disallow, /live/
facebook.com, naverbot, disallow, /p.php
facebook.com, naverbot, disallow, /photo.php
facebook.com, naverbot, disallow, /photos.php
facebook.com, naverbot, disallow, /sharer/
facebook.com, seznambot, disallow, /ajax/
facebook.com, seznambot, disallow, /album.php
facebook.com, seznambot, disallow, /checkpoint/
facebook.com, seznambot, disallow, /contact_importer/
facebook.com, seznambot, disallow, /feeds/
facebook.com, seznambot, disallow, /file_download.php
facebook.com, seznambot, disallow, /hashtag/
facebook.com, seznambot, disallow, /l.php
facebook.com, seznambot, disallow, /live/
facebook.com, seznambot, disallow, /p.php
facebook.com, seznambot, disallow, /photo.php
facebook.com, seznambot, disallow, /photos.php
facebook.com, seznambot, disallow, /sharer/
facebook.com, slurp, disallow, /ajax/
facebook.com, slurp, disallow, /album.php
facebook.com, slurp, disallow, /checkpoint/
facebook.com, slurp, disallow, /contact_importer/
facebook.com, slurp, disallow, /feeds/
facebook.com, slurp, disallow, /file_download.php
facebook.com, slurp, disallow, /hashtag/
facebook.com, slurp, disallow, /l.php
facebook.com, slurp, disallow, /live/
facebook.com, slurp, disallow, /p.php
facebook.com, slurp, disallow, /photo.php
facebook.com, slurp, disallow, /photos.php
facebook.com, slurp, disallow, /sharer/
facebook.com, teoma, disallow, /ajax/
facebook.com, teoma, disallow, /album.php
facebook.com, teoma, disallow, /checkpoint/
facebook.com, teoma, disallow, /contact_importer/
facebook.com, teoma, disallow, /feeds/
facebook.com, teoma, disallow, /file_download.php
facebook.com, teoma, disallow, /hashtag/
facebook.com, teoma, disallow, /l.php
facebook.com, teoma, disallow, /live/
facebook.com, teoma, disallow, /p.php
facebook.com, teoma, disallow, /photo.php
facebook.com, teoma, disallow, /photos.php
facebook.com, teoma, disallow, /sharer/
facebook.com, yandex, disallow, /ajax/
facebook.com, yandex, disallow, /album.php
facebook.com, yandex, disallow, /checkpoint/
facebook.com, yandex, disallow, /contact_importer/
facebook.com, yandex, disallow, /feeds/
facebook.com, yandex, disallow, /file_download.php
facebook.com, yandex, disallow, /hashtag/
facebook.com, yandex, disallow, /l.php
facebook.com, yandex, disallow, /live/
facebook.com, yandex, disallow, /p.php
facebook.com, yandex, disallow, /photo.php
facebook.com, yandex, disallow, /photos.php
facebook.com, yandex, disallow, /sharer/
facebook.com, yeti, disallow, /ajax/
facebook.com, yeti, disallow, /album.php
facebook.com, yeti, disallow, /checkpoint/
facebook.com, yeti, disallow, /contact_importer/
facebook.com, yeti, disallow, /feeds/
facebook.com, yeti, disallow, /file_download.php
facebook.com, yeti, disallow, /hashtag/
facebook.com, yeti, disallow, /l.php
facebook.com, yeti, disallow, /live/
facebook.com, yeti, disallow, /p.php
facebook.com, yeti, disallow, /photo.php
facebook.com, yeti, disallow, /photos.php
facebook.com, yeti, disallow, /sharer/
facebook.com, applebot, allow, /ajax/pagelet/generic.php/pagepostssectionpagelet
facebook.com, baiduspider, allow, /ajax/pagelet/generic.php/pagepostssectionpagelet
facebook.com, bingbot, allow, /ajax/pagelet/generic.php/pagepostssectionpagelet
facebook.com, googlebot, allow, /ajax/pagelet/generic.php/pagepostssectionpagelet
facebook.com, ia_archiver, allow, /about/privacy
facebook.com, ia_archiver, allow, /ajax/pagelet/generic.php/pagepostssectionpagelet
facebook.com, ia_archiver, allow, /full_data_use_policy
facebook.com, ia_archiver, allow, /legal/terms
facebook.com, ia_archiver, allow, /policy.php
facebook.com, msnbot, allow, /ajax/pagelet/generic.php/pagepostssectionpagelet
